ADHD,Alcobra Ltd.,4.38,120716829.6,n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adhd
ADI,"Analog Devices, Inc.",59.16,18340731258,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/adi
ADMP,Adamis Pharmaceuticals Corporation,6.1,82100272.1,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/admp
ADP,"Automatic Data Processing, Inc.",90.84,41554860740,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/adp
ADRA,BLDRS Asia 50 ADR Index Fund,24.89,22401000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adra
ADRD,BLDRS Developed Markets 100 ADR Index Fund,19.2123,60518745,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adrd
ADRE,BLDRS Emerging Markets 50 ADR Index Fund,30.3328,148630720,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adre
ADRU,BLDRS Europe 100 ADR Index Fund,19.17,14377500,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adru
ADSK,"Autodesk, Inc.",57.78,12971216634,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adsk
ADTN,"ADTRAN, Inc.",19.78,973888238.2,n/a,1994,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn
ADUS,Addus HomeCare Corporation,17.27,192009759.7,n/a,2009,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/adus
ADXS,"Advaxis, Inc.",9.99,340672666.3,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxs
AEGN,Aegion Corp,20.58,727721292.1,n/a,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/aegn
AEGR,"Aegerion Pharmaceuticals, Inc.",3.61,106395703.3,n/a,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aegr
AEHR,Aehr Test Systems,1.32,17377002.72,n/a,1997,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/aehr
AEIS,"Advanced Energy Industries, Inc.",34.64,1380436284,n/a,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeis
